09:17:49 [LOG]      > (Public) : Got all goodies
09:17:49 [LOG]      > (Public) : Got session
09:17:50 [LOG]      > (Public) : Got thumbnail of goodies 9
09:17:50 [LOG]      > (Public) : Got thumbnail of goodies 8
09:17:50 [LOG]      > (Public) : Got thumbnail of goodies 10
09:17:50 [LOG]      > (Public) : Got session
09:17:51 [LOG]      > (Public) : Got session
09:18:00 [LOG]      > (Public) : Got session
09:18:01 [LOG]      > (42intra-API) : Created new student yohan
09:18:01 [WARNING]  > (42intra-API) : Failed -> Find student with login yohan : student does not exist
09:18:01 [ERROR]    > (42intra-API) : Failed -> Log student on database (QueryFailedError: null value in column "img_medium" of relation "stud" violates not-null constraint)
09:18:01 [WARNING]  > (42intra-API) : Failed -> Find student with login yohan : student does not exist
09:18:11 [LOG]      > (Public) : Got session
09:18:11 [LOG]      > (Public) : Got session
09:18:11 [LOG]      > (Public) : Got session
09:18:11 [LOG]      > (Public) : Got session
09:18:16 [LOG]      > (Public) : Got goodies with id 8
09:18:16 [LOG]      > (Public) : Got album of goodies 8
09:18:20 [LOG]      > (Public) : Got session
09:18:20 [LOG]      > (Public) : Got session
09:18:20 [LOG]      > (Public) : Got session
09:18:20 [LOG]      > (Public) : Got all goodies
09:18:20 [LOG]      > (Public) : Got session
09:18:20 [LOG]      > (Public) : Got thumbnail of goodies 8
09:18:20 [LOG]      > (Public) : Got thumbnail of goodies 9
09:18:20 [LOG]      > (Public) : Got thumbnail of goodies 10
09:18:22 [LOG]      > (Public) : Got goodies with id 8
09:18:22 [LOG]      > (Public) : Got album of goodies 8
09:18:35 [LOG]      > (Public) : Got goodies with id 9
09:18:35 [LOG]      > (Public) : Got album of goodies 9
09:18:38 [LOG]      > (Public) : Got goodies with id 10
09:18:38 [LOG]      > (Public) : Got album of goodies 10
09:18:43 [LOG]      > (Public) : Got goodies with id 8
09:18:43 [LOG]      > (Public) : Got album of goodies 8
09:19:10 [LOG]      > (Public) : Got goodies with id 10
09:19:10 [LOG]      > (Public) : Got album of goodies 10
09:19:12 [LOG]      > (Public) : Got goodies with id 9
09:19:12 [LOG]      > (Public) : Got album of goodies 9
09:19:39 [LOG]      > (Public) : Got session
09:19:41 [LOG]      > (42intra-API) : Created new student yohan
09:19:41 [WARNING]  > (42intra-API) : Failed -> Find student with login yohan : student does not exist
09:19:41 [ERROR]    > (42intra-API) : Failed -> Log student on database (QueryFailedError: null value in column "img_medium" of relation "stud" violates not-null constraint)
09:19:41 [WARNING]  > (42intra-API) : Failed -> Find student with login yohan : student does not exist
09:20:06 [LOG]      > (Public) : Got session
09:20:06 [LOG]      > (Public) : Got session
09:20:06 [LOG]      > (Public) : Got session
09:20:06 [LOG]      > (Public) : Got session
09:20:06 [LOG]      > (Public) : Got all goodies
09:20:06 [LOG]      > (Public) : Got thumbnail of goodies 9
09:20:06 [LOG]      > (Public) : Got thumbnail of goodies 8
09:20:06 [LOG]      > (Public) : Got thumbnail of goodies 10
09:20:42 [LOG]      > (Public) : Got session
09:20:43 [LOG]      > (42intra-API) : Created new student yoyostud
09:20:43 [LOG]      > (42intra-API) : Logged student yoyostud
09:20:43 [WARNING]  > (42intra-API) : Failed -> Find student with login yoyostud : student does not exist
09:20:43 [WARNING]  > (42intra-API) : Failed -> Find student with login yoyostud : student does not exist
09:20:43 [LOG]      > (yoyostud) : Got student with login yoyostud
09:20:43 [WARNING]  > (yoyostud) : Updated session (admin)
09:20:43 [LOG]      > (yoyostud) : Got session
09:20:43 [LOG]      > (yoyostud) : Got all goodies
09:20:43 [LOG]      > (yoyostud) : Got session
09:20:43 [LOG]      > (yoyostud) : Got session
09:20:43 [LOG]      > (yoyostud) : Got session
09:20:43 [LOG]      > (yoyostud) : Got thumbnail of goodies 9
09:20:43 [LOG]      > (yoyostud) : Got thumbnail of goodies 8
09:20:43 [LOG]      > (yoyostud) : Got thumbnail of goodies 10
09:20:43 [LOG]      > (yoyostud) : Got all filtered events
09:20:43 [LOG]      > (yoyostud) : Got thumbnail of event 1
09:20:46 [LOG]      > (yoyostud) : Got goodies with id 8
09:20:46 [LOG]      > (yoyostud) : Got album of goodies 8
09:20:56 [LOG]      > (yoyostud) : Got thumbnail of event 1
09:20:56 [LOG]      > (yoyostud) : Got event with id 1 
09:20:56 [LOG]      > (yoyostud) : Got student with login yoyostud
09:20:56 [LOG]      > (yoyostud) : Checked if student yoyostud is subbed to event 1
09:20:56 [LOG]      > (yoyostud) : Checked if student yoyostud is subbed to event 1
09:20:56 [LOG]      > (yoyostud) : Got event with id 1 
09:20:56 [LOG]      > (yoyostud) : Checked if student yoyostud is subbed to event 1
09:25:54 [LOG]      > (Link) : Got student with login Link
09:25:54 [WARNING]  > (Link) : Updated session (admin)
09:25:54 [LOG]      > (Link) : Got session
09:25:54 [LOG]      > (Link) : Got session
09:25:54 [LOG]      > (Link) : Got session
09:25:54 [LOG]      > (Link) : Got session
09:25:54 [LOG]      > (Link) : Got all contributions of student aguemazi
09:25:54 [LOG]      > (Link) : Got all contributions of student averon
09:25:54 [LOG]      > (Link) : Got all contributions of student Link
09:25:54 [LOG]      > (Link) : Got all contributions of student iCARUS
09:25:54 [LOG]      > (Link) : Got all contributions of student dhaliti
09:25:54 [LOG]      > (Link) : Got all contributions of student dsimler
09:25:54 [LOG]      > (Link) : Got all contributions of student edelarbr
09:25:54 [LOG]      > (Link) : Got all contributions of student emuller
09:25:54 [LOG]      > (Link) : Got all contributions of student isitbon
09:25:54 [LOG]      > (Link) : Got all contributions of student jdutschk
09:25:54 [LOG]      > (Link) : Got all contributions of student joberle
09:25:54 [LOG]      > (Link) : Got all contributions of student jschmitt
09:25:54 [LOG]      > (Link) : Got all contributions of student lhutt
09:25:54 [LOG]      > (Link) : Got all contributions of student llion
09:25:54 [LOG]      > (Link) : Got all contributions of student loculy
09:25:54 [LOG]      > (Link) : Got all contributions of student mde-vaul
09:25:54 [LOG]      > (Link) : Got all contributions of student mernst
09:25:54 [LOG]      > (Link) : Got all contributions of student mfusil
09:25:54 [LOG]      > (Link) : Got all contributions of student mgeisler
09:25:54 [LOG]      > (Link) : Got all contributions of student misimon
09:25:54 [LOG]      > (Link) : Got all contributions of student mpankewi
09:25:54 [LOG]      > (Link) : Got all contributions of student ndick
09:25:54 [LOG]      > (Link) : Got all contributions of student pwolff
09:25:54 [LOG]      > (Link) : Got all contributions of student snow
09:25:54 [LOG]      > (Link) : Got all contributions of student stissera
09:25:54 [LOG]      > (Link) : Got all contributions of student swalter
09:25:54 [LOG]      > (Link) : Got all contributions of student thomathi
09:25:54 [LOG]      > (Link) : Got all contributions of student tkempf-e
09:25:54 [LOG]      > (Link) : Got all contributions of student tunsinge
09:25:54 [LOG]      > (Link) : Got all contributions of student tvanbael
09:25:54 [LOG]      > (Link) : Got all contributions of student yabed
09:25:54 [LOG]      > (Link) : Got all contributions of student yoyostud
09:25:54 [LOG]      > (Link) : Got all students
09:30:05 [LOG]      > (Link) : Got student with login Link
09:30:05 [WARNING]  > (Link) : Updated session (admin)
09:30:05 [LOG]      > (Link) : Got session
09:30:05 [LOG]      > (Link) : Got student with login yoyostud
09:30:05 [LOG]      > (Link) : Got session
09:30:05 [LOG]      > (Link) : Got session
09:30:05 [LOG]      > (Link) : Got all events yoyostud subbed to
09:31:37 [LOG]      > (Link) : Got student with login Link
09:31:37 [WARNING]  > (Link) : Updated session (admin)
09:31:37 [LOG]      > (Link) : Got session
09:31:37 [LOG]      > (Link) : Got session
09:31:37 [LOG]      > (Link) : Got session
09:31:37 [LOG]      > (Link) : Got session
09:31:37 [LOG]      > (Link) : Got all goodies
09:31:37 [LOG]      > (Link) : Got thumbnail of goodies 9
09:31:37 [LOG]      > (Link) : Got thumbnail of goodies 8
09:31:37 [LOG]      > (Link) : Got thumbnail of goodies 10
09:31:37 [LOG]      > (Link) : Got all filtered events
09:31:37 [LOG]      > (Link) : Got thumbnail of event 1
09:31:38 [LOG]      > (Link) : Got goodies with id 8
09:31:38 [LOG]      > (Link) : Got album of goodies 8
09:31:44 [LOG]      > (Link) : Got student with login Link
09:31:44 [WARNING]  > (Link) : Updated session (admin)
09:31:44 [LOG]      > (Link) : Got session
09:31:44 [LOG]      > (Link) : Got session
09:31:44 [LOG]      > (Link) : Got session
09:32:00 [LOG]      > (Link) : Got student with login Link
09:32:00 [WARNING]  > (Link) : Updated session (admin)
09:32:01 [LOG]      > (Link) : Got session
09:32:01 [LOG]      > (Link) : Got session
09:32:01 [LOG]      > (Link) : Got session
09:32:01 [LOG]      > (Link) : Got session
09:32:01 [LOG]      > (Link) : Got all goodies
09:32:01 [LOG]      > (Link) : Got all filtered events
09:32:01 [LOG]      > (Link) : Got thumbnail of event 1
09:32:14 [LOG]      > (Link) : Got session
09:32:14 [LOG]      > (Public) : Got session
09:32:14 [LOG]      > (Public) : Got session
09:32:14 [LOG]      > (Public) : Got session
09:32:14 [LOG]      > (Public) : Got session
09:32:14 [LOG]      > (Public) : Got session
09:32:14 [LOG]      > (Public) : Got all goodies
09:32:16 [LOG]      > (Public) : Got thumbnail of goodies 9
09:32:16 [LOG]      > (Public) : Got thumbnail of goodies 8
09:32:16 [LOG]      > (Public) : Got thumbnail of goodies 10
09:32:18 [LOG]      > (Public) : Got goodies with id 8
09:32:18 [LOG]      > (Public) : Got album of goodies 8
09:32:55 [LOG]      > (Public) : Got session
09:32:56 [LOG]      > (42intra-API) : Got student with login Link
09:32:56 [LOG]      > (42intra-API) : Logged student Link
09:32:56 [LOG]      > (Link) : Got student with login Link
09:32:56 [WARNING]  > (Link) : Updated session (admin)
09:32:56 [LOG]      > (Link) : Got session
09:32:56 [LOG]      > (Link) : Got all goodies
09:32:56 [LOG]      > (Link) : Got session
09:32:56 [LOG]      > (Link) : Got session
09:32:56 [LOG]      > (Link) : Got session
09:32:56 [LOG]      > (Link) : Got all filtered events
09:32:56 [LOG]      > (Link) : Got thumbnail of event 1
09:32:56 [LOG]      > (Link) : Got thumbnail of goodies 9
09:32:56 [LOG]      > (Link) : Got thumbnail of goodies 8
09:32:56 [LOG]      > (Link) : Got thumbnail of goodies 10
09:34:06 [LOG]      > (Link) : Got student with login Link
09:34:06 [WARNING]  > (Link) : Updated session (admin)
09:34:06 [LOG]      > (Link) : Got session
09:34:06 [LOG]      > (Link) : Got all contributions of student aguemazi
09:34:06 [LOG]      > (Link) : Got all contributions of student averon
09:34:06 [LOG]      > (Link) : Got all contributions of student Link
09:34:06 [LOG]      > (Link) : Got session
09:34:06 [LOG]      > (Link) : Got all contributions of student iCARUS
09:34:06 [LOG]      > (Link) : Got all contributions of student dhaliti
09:34:06 [LOG]      > (Link) : Got all contributions of student dsimler
09:34:06 [LOG]      > (Link) : Got all contributions of student edelarbr
09:34:06 [LOG]      > (Link) : Got all contributions of student emuller
09:34:06 [LOG]      > (Link) : Got all contributions of student isitbon
09:34:06 [LOG]      > (Link) : Got all contributions of student jdutschk
09:34:06 [LOG]      > (Link) : Got all contributions of student joberle
